質問,回答,対応カテゴリー,根拠資料,備考,FAQ_ID,表示順序
PIP-Makerはどのようなツールですか？,"PIP-Makerは、PowerPoint資料をアップロードするだけで、ナレーション付きの動画教材を自動生成できるクラウドサービスです。
社内研修・マニュアル・営業資料の動画化などに活用され、誰でも簡単にプロ品質の動画を作成可能です。
また、視聴ログの取得やセキュリティ機能も充実しており、法人向けに最適化されています。",about,https://www.pip-maker.com,よくある質問,about_001,1
他社製品との違いは何ですか？,"PIP-Makerの他社製品との主な違いは以下の3点です：
・PowerPointをそのまま活用でき、誰でも簡単に動画化できる操作性。
・ナレーションは自動音声 or プロ声優収録が選択可能で、用途に応じて品質を選べます。
・視聴者ごとのログ管理・アクセス制限など、法人利用に特化した機能が豊富です。",about,https://www.pip-maker.com/function/,よくある質問,about_002,2
導入にはどのくらいの期間が必要ですか？,"PIP-Makerの導入は最短即日から可能です。
操作も直感的で、マニュアルなしでもすぐに動画作成を開始できます。
さらに、初期設定や操作説明は専任スタッフがしっかりサポートするため安心です。",about,導入の流れ：https://www.pip-maker.com/flow/,よくある質問,about_003,3
どのような業界で導入されていますか？,"PIP-Makerは以下のような幅広い業界で導入実績があります：
・建築業での新規入場者教育や安全教育
・製造業・金融・医療・エネルギーなどの大手企業での研修やマニュアル動画化。
・大学・専門学校での講義動画配信やオンライン授業にも活用。
・自治体・公共機関での住民向け説明動画の作成にも対応。",cases, 活用事例：https://www.pip-maker.com/case/,よくある質問,cases_001,1
どのような導入効果がありますか？,"PIP-Makerの導入により、以下のような高い効果が報告されています：
・動画作成時間を最大90％削減し、業務効率が大幅に向上。
・説明の属人化を防ぎ、誰が説明しても均質な品質を確保可能。
・視聴ログの可視化により、受講状況の把握と改善提案が容易になります。",cases,効果の詳細：https://www.pip-maker.com/advantage/,よくある質問,cases_002,2
導入事例の詳細資料はありますか？,"はい、PIP-Makerでは業界別・用途別の導入事例資料を無料でダウンロードいただけます。
実際の課題や導入効果が詳しく紹介されており、自社導入の検討に非常に役立ちます。
まずは以下のページから資料をご請求ください。",cases,資料ダウンロード：https://www.pip-maker.com/download/,よくある質問,cases_003,3
主要な機能は何ですか？,"PIP-Makerの主要な機能は以下の通りです：
・PowerPointから自動でナレーション付き動画を生成（音声合成 or プロ声優収録）。
・視聴ログの取得・アクセス制限・パスワード保護などの配信管理機能。
・自動翻訳・字幕表示・チャプター設定などの高機能編集オプションも完備。",features,機能一覧はこちら：https://www.pip-maker.com/function/,よくある質問,features_001,1
インタラクティブ機能とはなんですか？,"インタラクティブ機能とは、視聴者が動画内で選択肢をクリックすることで再生内容が分岐する仕組みです。
例えば「営業向け」「技術向け」など、視聴者の興味や職種に合わせた情報提供が可能になります。
これにより、一人ひとりに最適化された視聴体験を実現できます。",features,https://www.pip-maker.com/function/#interactive,よくある質問,features_002,2
作成した動画の出力形式について教えてください。,"PIP-Makerで作成した動画の出力形式は以下の通りです：
・専用URLでのWeb配信が基本で、すぐに共有・視聴が可能です。
・MP4形式でのダウンロードも可能なため、社内サーバーやLMSでの利用にも対応。
・プレイリスト機能や視聴ログ機能と組み合わせて活用することで、より効果的な運用が可能です。",features,https://www.pip-maker.com/function/,よくある質問,features_003,3
料金プランについて教えてください。,"PIP-Makerの料金プランは、用途や規模に応じて柔軟に選べる法人向け半年単位のライセンス制です。
以下プラン毎によって料金が異なります。
・スタンダードプラスプラン：月額49800円(税抜)。スモールスタート向き。動画枠は5枠。
・プロフェッショナルプラスプラン：月額99800円(税抜)。標準プラン。動画枠は20枠で機能はほぼ網羅しています。
・エンタープライズプラン：お見積り。顧客のニーズに合わせてカスタマイズ可能です。お問合せください。",pricing,https://www.pip-maker.com/plan/,よくある質問,pricing_001,1
無料トライアルはありますか？,"はい、PIP-Makerには2週間の無料トライアルが可能です。
実際の操作感や動画作成フローを体験でき、導入前にしっかりと評価・比較できます。
即日発行も可能です。お気軽にお問い合わせいただください。",pricing,トライアル申込はこちら：https://www.pip-maker.com/trial/,よくある質問,pricing_002,2
月額費用以外にかかるものはありますか？,初期費用がかかりますが、基本的には月額費用のみとなり、従量課金ではございません。ただし、動画の枠数やアカウント数を追加したい場合は別途費用が必要になります。,pricing,https://www.pip-maker.com/price/,よくある質問,pricing_003,3
サポート体制について教えてください,"PIP-Makerのサポート体制は以下の通り充実しています：
・専任スタッフによる導入支援・操作レクチャーあり（オンライン対応可）
・導入後も、メール・電話による迅速なサポートを提供
・活用方法や運用改善のアドバイスまで含めた伴走支援も可能です",other,https://www.pip-maker.com/advantage/#support,よくある質問,other_001,1
研修・トレーニングはありますか？,"はい、PIP-Makerでは導入時に操作説明や活用トレーニングを実施しています。
初心者でも安心して使えるよう、画面共有によるオンライン研修やマニュアルの提供も充実しています。
導入後も、活用定着に向けたフォローアップ支援を継続して受けられます。",other,https://www.pip-maker.com/advantage/#support,よくある質問,other_002,2
セキュリティ対策について,"PIP-Makerは法人向けに最適化された高水準のセキュリティ対策を講じています：
・運営の株式会社4COLORSはISO27001を取得済です。
・IPアドレス制限などを搭載（スタンダードプラスプランを除きます）
・データは国内の信頼性の高いデータセンターで管理
",other,,よくある質問,other_003,3
パワーポイントをアップできる回数に制限はありますか？,パワーポイントのアップロードに回数制限はございません。何度でもパワーポイントをアップロードしていただけます。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
PIP動画内で、内容の確認テストを行いたいです。どのように設定したらいいですか？,パワーポイント上で、ハイパーリンクの設定をすることで、クイズを作成することが可能です。詳細はインタラクティブ機能についての動画をご確認ください。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
3D動画を作成する際、2D動画と比較して利用できなくなる機能はありますか？,下記の機能が、3D動画では利用できません。ご了承ください。・背景アップロード・MP4動画へのエンコード・似顔絵Myアバター作成・オリジナルアバターの作成（企業キャラクターなど完全オリジナルのアバター）,features,https://www.pip-maker.com/faq/#faq_cat01,,,
Office365のパワーポイントは利用可能ですか？,パワーポイントファイル（.pptx）として保存いただければ利用可能です。現状のお客様でOffice 365をご利用されている方もおられます。注意点としては、Office 365特有の機能や設定をアップロードするパワーポイントファイルにも設定している場合、弊社サービスでエラー表示が出て動画作成ができない場合がございます。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
自分の顔をアバター化は出来ますか？,ご自身のお顔のアバター化に関しましては、「似顔絵Myアバター」という機能がございます。自分の写真をアップすると、それをもとにお顔のアバター素材を生成しますので、自分に似せるよう調整しご利用いただくものです。似顔絵Myアバター機能は、すべてのプランでご利用いただけます。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
自社オリジナルのキャラクターをアバターにすることはできますか？,オリジナルのアバターに関しましては、オプションを追加することで可能になります。1体25万円(税抜)～作成いたします。,features,https://www.pip-maker.com/faq/#faq_cat01,,,
